{'car_score': None, 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2107-0-0-0-0-11-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '77.20-86.40万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g2/M04/2F/D8/s_autohomecar__wKgHFlsD6LOABPjYAAhOR1UyLgo409.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': 'MPV', 'car_engine': '3.5L', 'car_structure': 'MPV'}
{'car_score': '4.54', 'cate_name': '中大型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3652-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '双离合', 'car_reference_price': '23.28-36.38万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g29/M06/88/73/s_autohomecar__ChcCSFs2IhKAWcWuAAeyevclIuo267.jpg', 'cate_href': 'https://www.autohome.com.cn/c/', 'car_level': '紧凑型SUV', 'car_engine': '1.6T', 'car_structure': 'SUV'}
{'car_score': '4.64', 'cate_name': '中大型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3043-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '无级', 'car_reference_price': '48.88-58.28万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g24/M00/23/07/s_autohomecar__ChcCL1p5gN-AcAWkAAfA-CQuZSA535.jpg', 'cate_href': 'https://www.autohome.com.cn/c/', 'car_level': '中大型SUV', 'car_engine': '2.5T', 'car_structure': 'SUV'}
{'car_score': '4.20', 'cate_name': '中大型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3099-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '75.48-80.80万', 'car_img': 'https://car1.autoimg.cn/upload/2013/9/26/s_201309262330558264178.jpg', 'cate_href': 'https://www.autohome.com.cn/c/', 'car_level': '中大型SUV', 'car_engine': '3.7L', 'car_structure': 'SUV'}
{'car_score': '4.66', 'cate_name': '中大型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3100-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '113.80万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g21/M02/7F/DE/s_autohomecar__wKgFVVdXmwWABldYAAecmrwnRcM142.jpg', 'cate_href': 'https://www.autohome.com.cn/c/', 'car_level': '大型SUV', 'car_engine': '5.6L', 'car_structure': 'SUV'}
{'car_score': '4.38', 'cate_name': '中大型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3201-0-0-0-0-7-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '36.68-38.58万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g13/M09/3E/BA/s_autohomecar__wKgH41jSZeeAJxxhAAbDyY28avw145.jpg', 'cate_href': 'https://www.autohome.com.cn/c/', 'car_level': '跑车', 'car_engine': '2.0T', 'car_structure': '硬顶跑车'}
{'car_score': '4.14', 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-447-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '自动', 'car_reference_price': '4.39-6.49万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g18/M12/1A/13/s_autohomecar__wKgH2VZ4DU2AcZx-AAgpfPLohT4281.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': '小型车', 'car_engine': '1.5L', 'car_structure': '三厢'}
{'car_score': '4.33', 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3556-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '无级', 'car_reference_price': '6.98-10.08万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g24/M08/AA/3A/s_autohomecar__ChcCL1pwjUCAWm2_AAkGpfFaXCw375.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': '紧凑型车', 'car_engine': '1.3T', 'car_structure': '三厢'}
{'car_score': '4.50', 'cate_name': '微型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-4139-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '7.88-11.58万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g8/M0A/24/FF/s_autohomecar__wKjBz1o7tQaADWOMAAvf-qLWtFo573.jpg', 'cate_href': 'https://www.autohome.com.cn/a00/', 'car_level': '紧凑型车', 'car_engine': '1.3T', 'car_structure': '三厢'}
{'car_score': '4.88', 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3393-0-0-0-0-3-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '双离合', 'car_reference_price': '183.90万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g21/M14/3B/C8/s_autohomecar__wKjBwlcUUOiAKX85AAi8W5kMvac583.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '大型车', 'car_engine': '3.0T', 'car_structure': '掀背'}
{'car_score': '3.86', 'cate_name': '微面', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-579-0-0-0-0-1-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '3.79-4.79万', 'car_img': 'https://car0.autoimg.cn/car/upload/2015/3/5/s_201503052236201894972112.jpg', 'cate_href': 'https://www.autohome.com.cn/mb/', 'car_level': '微型车', 'car_engine': '1.0L', 'car_structure': '两厢'}
{'car_score': '4.24', 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2678-0-0-0-0-1-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '21.59-28.99万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g23/M11/A9/8E/s_autohomecar__wKgFXFn7FFaAeN4jAAhFBPs653A261.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '紧凑型车', 'car_engine': '1.5T', 'car_structure': '两厢'}
{'car_score': None, 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-404-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '39.29-60.69万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g12/M0D/90/B2/s_autohomecar__wKjBy1kLG5uAHGaLAAfSyw6SpDg433.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '中型车', 'car_engine': '2.0T', 'car_structure': '三厢'}
{'car_score': '4.51', 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2190-0-0-0-0-4-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '28.99-58.99万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g12/M15/EA/89/s_autohomecar__wKgH01ejDAWAA9QgAAgNykoD4aU407.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '中型车', 'car_engine': '2.0T', 'car_structure': '旅行版'}
{'car_score': '4.73', 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-4029-0-0-0-0-4-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '44.68-59.48万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g5/M0A/32/74/s_autohomecar__wKgH21jHzFeARCFgAAlDlkaQatM179.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '中大型车', 'car_engine': '2.0T', 'car_structure': '旅行版'}
{'car_score': '4.55', 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-177-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '63.68-86.68万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g16/M0E/AF/E4/s_autohomecar__wKgH5lnksdSABBcHAAxPxIZyyjw875.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '中大型SUV', 'car_engine': '2.0T', 'car_structure': 'SUV'}
{'car_score': None, 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-141-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '41.80-69.80万', 'car_img': 'https://car0.autoimg.cn/upload/2012/8/14/s_201208140859098884136.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '大型车', 'car_engine': '2.8L', 'car_structure': '三厢'}
{'car_score': '4.31', 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3406-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '12.98-18.98万', 'car_img': 'https://car1.autoimg.cn/car/upload/2015/6/26/s_201506260817553333450110.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '小型SUV', 'car_engine': '1.6L', 'car_structure': 'SUV'}
{'car_score': '4.30', 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2214-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '13.98-24.98万', 'car_img': 'https://car0.autoimg.cn/upload/2014/10/23/s_20141023132947202513210.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '紧凑型SUV', 'car_engine': '2.0L', 'car_structure': 'SUV'}
{'car_score': '4.34', 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-455-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '15.48-21.98万', 'car_img': 'https://car1.autoimg.cn/upload/2014/3/7/s_201403071902270024435.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '紧凑型SUV', 'car_engine': '2.0T', 'car_structure': 'SUV'}
{'car_score': '4.53', 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3132-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '24.98-32.98万', 'car_img': 'https://car1.autoimg.cn/upload/2013/5/8/s_201305081136190614178.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '中型SUV', 'car_engine': '2.0T', 'car_structure': 'SUV'}
{'car_score': '4.16', 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-516-0-0-0-0-11-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '21.98-26.98万', 'car_img': 'https://car0.autoimg.cn/upload/2013/10/31/s_201310310944519593513.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': 'MPV', 'car_engine': '2.0T', 'car_structure': 'MPV'}
{'car_score': None, 'cate_name': '大型车', 'brand_name': '正道汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3372-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/pic/brand-290-474.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '13.98-23.98万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g23/M15/9D/85/s_autohomecar__wKgFXFbVwMyAD0FyAAKWWSZ8e_A644.jpg', 'cate_href': 'https://www.autohome.com.cn/d/', 'car_level': '紧凑型SUV', 'car_engine': '1.6L', 'car_structure': 'SUV'}
{'car_score': '3.61', 'cate_name': '小型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2716-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '5.29-6.59万', 'car_img': 'https://car0.autoimg.cn/car/upload/2015/6/28/s_201506281844308254971112.jpg', 'cate_href': 'https://www.autohome.com.cn/a0/', 'car_level': '小型车', 'car_engine': '1.5L', 'car_structure': '三厢'}
{'car_score': '3.93', 'cate_name': '小型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-878-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '3.69-4.89万', 'car_img': 'https://car0.autoimg.cn/upload/2014/5/23/s_201405230904373414188.jpg', 'cate_href': 'https://www.autohome.com.cn/a0/', 'car_level': '小型车', 'car_engine': '1.0L', 'car_structure': '三厢'}
{'car_score': '4.02', 'cate_name': '小型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2781-0-0-0-0-1-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '4.89-5.29万', 'car_img': 'https://car1.autoimg.cn/car/upload/2015/7/10/s_201507101046577505465110.jpg', 'cate_href': 'https://www.autohome.com.cn/a0/', 'car_level': '小型车', 'car_engine': '1.3L', 'car_structure': '两厢'}
{'car_score': '4.67', 'cate_name': '小型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-4404-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '5.59-7.29万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g25/M04/37/1F/s_autohomecar__wKgHIFqVU06AdQ64AAZ3d2eKLdk123.jpg', 'cate_href': 'https://www.autohome.com.cn/a0/', 'car_level': '紧凑型车', 'car_engine': '1.5L', 'car_structure': '三厢'}
{'car_score': '4.56', 'cate_name': '小型车', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3979-0-0-0-0-2-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手自一体', 'car_reference_price': '6.48-8.78万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g6/M12/AF/6F/s_autohomecar__wKjB0Vg44DSAP4pVAAQWrMBGfeI792.jpg', 'cate_href': 'https://www.autohome.com.cn/a0/', 'car_level': '紧凑型车', 'car_engine': '1.6L', 'car_structure': '三厢'}
{'car_score': '4.08', 'cate_name': 'SUV', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3454-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': 'AMT', 'car_reference_price': '5.49-7.39万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g13/M0F/96/B7/s_autohomecar__wKjBylghsTSAEKXWAA2fyje5YZE236.jpg', 'cate_href': 'https://www.autohome.com.cn/suv/', 'car_level': '小型SUV', 'car_engine': '1.5L', 'car_structure': 'SUV'}
{'car_score': '4.51', 'cate_name': 'SUV', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2615-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '9.00-11.30万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g8/M0D/C1/31/s_autohomecar__wKgH3lnvXVSANyjaAAfKK11B2Nc400.jpg', 'cate_href': 'https://www.autohome.com.cn/suv/', 'car_level': '小型SUV', 'car_engine': '1.5T', 'car_structure': 'SUV'}
{'car_score': '4.65', 'cate_name': 'SUV', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-4168-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '8.40-10.30万', 'car_img': 'https://car3.autoimg.cn/cardfs/product/g9/M01/BC/68/s_autohomecar__wKgH0FnwYRSALNtwAAkphGn4v6Q621.jpg', 'cate_href': 'https://www.autohome.com.cn/suv/', 'car_level': '小型SUV', 'car_engine': '1.5T', 'car_structure': 'SUV'}
{'car_score': '4.65', 'cate_name': 'SUV', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-4608-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '双离合', 'car_reference_price': '10.60-11.60万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g24/M06/56/6D/s_autohomecar__ChcCL1qXSiGAABOUAAblEACmwjQ948.jpg', 'cate_href': 'https://www.autohome.com.cn/suv/', 'car_level': '紧凑型SUV', 'car_engine': '1.3T', 'car_structure': 'SUV'}
{'car_score': '4.22', 'cate_name': 'SUV', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2027-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '10.78-13.68万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g23/M0C/6D/02/s_autohomecar__wKgFXFnMy5OABBjKAAuwN3-2X00883.jpg', 'cate_href': 'https://www.autohome.com.cn/suv/', 'car_level': '紧凑型SUV', 'car_engine': '2.0T', 'car_structure': 'SUV'}
{'car_score': '4.61', 'cate_name': 'SUV', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-2123-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '手动', 'car_reference_price': '10.30-14.68万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g24/M08/B5/6B/s_autohomecar__wKgHH1rV2xqAAHjWAA3EmZEWCpw506.jpg', 'cate_href': 'https://www.autohome.com.cn/suv/', 'car_level': '紧凑型SUV', 'car_engine': '1.5T', 'car_structure': 'SUV'}
{'car_score': '4.42', 'cate_name': 'SUV', 'brand_name': '众泰汽车', 'car_url': 'https://car.autohome.com.cn/price/series-3481-0-0-0-0-12-0-1.html#pvareaid=101406', 'brand_href': 'https://car.autohome.com.cn/price/brand-94-171.html#pvareaid=2042363', 'car_var': '自动', 'car_reference_price': '10.90-14.98万', 'car_img': 'https://car2.autoimg.cn/cardfs/product/g25/M08/BD/BB/s_autohomecar__wKgHIlphUV2AIYQ7AAi5PfShVyM773.jpg', 'cate_href': 'https://www.autohome.com.cn/suv/', 'car_level': '紧凑型SUV', 'car_engine': '1.5T', 'car_structure': 'SUV'}
